study,n1,m1,s1,n2,m2,s2,g
study1,7,23.3,4.3,6,39,7.4,0
study2,11,27.2,1,11,35.9,1.5,0
study3,9,28.9,2.1,10,33.4,1.3,0
study4,12,27.8,2,9,36.1,2.8,0
study5,10,43.2,5.73,5,61.8,9.37,0
study6,9,53.1,7.89,6,55.8,9.43,0
study7,7,9.9,4.12,11,10.6,4.2,1
study8,8,9.35,4.51,10,9.41,7.39,1
study9,7,33.85,3.89,8,40.74,3.97,1
study10,10,36.24,1.73,11,42.33,4.09,1
study11,7,37.23,2.05,10,41.32,4.17,1
