study,n1,m1,s1,n2,m2,s2
study1,12,28.2,0.9,11,35.9,1.4
study2,8,27.9,2,10,33.4,1.2
study3,10,27.9,2.3,9,36.1,2.7
study4,10,43.4,5.71,5,61.8,9.41
study5,9,53.1,7.88,5,61.9,8.4
study6,9,9.7,4.11,11,9.6,4.2
study7,6,10.33,4.5,9,8.11,7.39
study8,8,33.82,3.79,8,40.74,3.97
study9,9,36.21,1.72,10,41.32,4.07
study10,6,37.21,2.04,10,42.32,4.08
